post,url
2016-05-06-ays-daily-news-digest-6-5-2016-377dfdeb755c.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13176570_726459730828870_305121742_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=776239&_nc_ohc=5qQcbhHMrXwAX_S0TLf&_nc_ht=scontent.flis6-1.fna&oh=00_AfC5nTVN5wIfy0HKRTf8aw4Z8NtmAyCD1rpj1dYoIf-YrQ&oe=639BA9ED
2016-05-22-ays-digest-21-5-turkey-sending-away-poor-and-sick-refugees-but-keeping-well-educated-ones-164cb7a0751f.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13176709_1039436399482380_1013646279_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=776239&_nc_ohc=cj4tec8WIvMAX8ZMkH2&_nc_ht=scontent.flis6-1.fna&oh=00_AfC68I2Y3newKXHtloc5eio26uGeVZf-XTqJVMtjw6ZHgA&oe=639B2402
2016-05-24-ays-digest-more-than-2-700-people-rescued-between-europe-and-lybia-61a2a1d59f6f.md,https://miro.medium.com/max/1200/1*DtBvDJg2ycCo9A6c5VgL2w.jpeg
2016-05-28-double-issue-are-you-syrious-disasters-on-sea-and-land-407750b79f99.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13178480_619202574908874_2067296603_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=776239&_nc_ohc=HiJ8nn4vaVsAX9csAaF&_nc_ht=scontent.flis6-1.fna&oh=00_AfBuM7JQa9YHrRezA4_a6WT9tTKze2JBhnwTMn-8RPPOBw&oe=639B9240
2016-05-31-ays-news-digest-31-5-2016-1e5a27b1b995.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13176837_1148057281925675_872907144_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=776239&_nc_ohc=BJn_zysu9uMAX_8IPnv&_nc_ht=scontent.flis6-1.fna&oh=00_AfAMncJPGTiNZ3-VTwKlunc5lxqTjzxPO5M4FnlxH0_q_A&oe=639B2695
2016-06-12-ays-daily-digest-updated-pre-registration-information-36b91f1bfc.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13432675_1171473959550120_1627501333_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=776239&_nc_ohc=gpqz1ksf6HYAX9Hdv59&_nc_ht=scontent.flis6-1.fna&oh=00_AfATSnI8EyBlTQ4YRjaLAkW31gcTXzK8N2bguoQ-yqu4-w&oe=639B5BB5
2016-07-04-spiral-of-violence-continues-with-attacks-in-three-saudi-cities-9484a868d25b.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13602097_755902497884593_171881799_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=776239&_nc_ohc=U_en3D9G5J4AX-COyd1&_nc_ht=scontent.flis6-1.fna&oh=00_AfD42vEpJkdeFDmdC-74FREPKtFM3M96oHnFVvaxY-VLRg&oe=639B568D
2016-07-10-ays-9-7-refugees-police-and-locals-clash-as-frustration-explodes-on-leros-deee94d951ff.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13538174_1064288816942128_36502957_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=776239&_nc_ohc=-TNDBcq5v-gAX8Dd-nJ&_nc_ht=scontent.flis6-1.fna&oh=00_AfBK5i4mBJiJoWAsSLXeHTfgOM0CbIE9MpBnj9gBwljVMA&oe=639B9821
2016-07-11-ays-digest-11-7-more-border-controls-less-solidarity-ed06b4224af4.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13670319_4341993025725_1071002532_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=776239&_nc_ohc=j0kcpGSy8_wAX9yp2KP&_nc_ht=scontent.flis6-1.fna&oh=00_AfBl6MCBR05kkHuiCMhBExctN8jl5qejSdpdrwuVQT3Ovg&oe=639B78AB
2016-07-14-ays-digest-13-7-refugees-evacuated-from-piraeus-port-4f06c06abb11.md,https://scontent.flis6-1.fna.fbcdn.net/v/t15.5256-10/13602185_1369620399733041_1316921879_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=776239&_nc_ohc=3zoxqxACiY0AX-B8iaC&_nc_ht=scontent.flis6-1.fna&oh=00_AfBZsc7zS1KSJwp2ECbz1GvK9eZCWskReC3jxMMMIuW3oA&oe=639B42E3
