post,url,status,local_path,wayback_timestamp
2017-08-08-ays-daily-digest-08-08-17-afghan-youths-in-sweden-have-had-enough-of-the-deportations-192aac4fa6be.md,https://media.euobserver.com/67d8a895a21062b5144916f1c9544e42-800x.jpg,already_saved,../assets/192aac4fa6be/67d8a895a21062b5144916f1c9544e42-800x.jpg,
2016-09-25-ays-daily-digest-24-25-09-borderscankill-bddfb7acd057.md,https://www.ecchr.eu/fileadmin/_processed_/f/5/csm_MIG_EN_FB_fb539279f7.png,already_saved,../assets/bddfb7acd057/csm_MIG_EN_FB_fb539279f7.png,
2017-10-07-ays-daily-digest-06-10-17-moria-overcrowding-reaches-tipping-point-7bc241b770e1.md,https://www.refugeecouncil.org.uk/wp-content/uploads/2019/03/Project-asylum-destitution-20190401.jpg,already_saved,../assets/7bc241b770e1/Project-asylum-destitution-20190401.jpg,
2018-04-09-ays-special-from-turkey-abandoned-in-the-fields-654d3f925141.md,https://miro.medium.com/max/1137/1*VILMsnzbZ4_0f75C9dbIog.jpeg,already_saved,../assets/654d3f925141/1_VILMsnzbZ4_0f75C9dbIog.jpeg,
2018-04-22-ays-interview-with-jugend-rettet-the-accusations-are-just-empty-claims-ba873e0f53f4.md,https://miro.medium.com/max/1119/1*imJ4HvbIPXrqA1QChgfM1g.jpeg,already_saved,../assets/ba873e0f53f4/1_imJ4HvbIPXrqA1QChgfM1g.jpeg,
2018-09-06-ays-daily-digest-5-9-2018-the-dunkirk-jungle-is-about-to-be-cleared-ae50c46035e6.md,https://miro.medium.com/max/1200/1*njvCWTM9ve6Czd4yeAz77A.jpeg,already_saved,../assets/ae50c46035e6/1_njvCWTM9ve6Czd4yeAz77A.jpeg,
2018-09-25-ays-daily-digest-24-9-2018-the-so-called-salvini-decree-under-debate-as-sources-say-it-could-be-9543946a2671.md,https://onboard-aquarius.org/uploads/2018/09/0923_Rescue-recap.jpg,already_saved,../assets/9543946a2671/0923_Rescue-recap.jpg,
2018-11-26-الملخص-الأسبوعي-ا-ي-س-عمليات-الإخلاء-والمعاملة-اللاإنسانية-للاجئين-في-أوروبا-f5b8200541a2.md,https://miro.medium.com/max/960/1*7O2P4BmLYerA4FW7icY4zQ.jpeg,already_saved,../assets/f5b8200541a2/1_7O2P4BmLYerA4FW7icY4zQ.jpeg,
2018-12-03-خبرهای-هفتگی-آر-یو-س-بازداشتگاه-ها-در-سه-منطقه-ی-آلمان-eff619e8ee0d.md,https://miro.medium.com/max/1200/1*RrmE1D7Gakjgw4V57DTyBQ.jpeg,already_saved,../assets/eff619e8ee0d/1_RrmE1D7Gakjgw4V57DTyBQ.jpeg,
2018-12-10-خلاصـــــــــــة-الاسبـــــــــــــــــــــــــــــوع-ا-ي-س-30ad27d6325a.md,https://miro.medium.com/max/960/1*mgiGhxkHOSkz4XIjS2HfYA.jpeg,already_saved,../assets/30ad27d6325a/1_mgiGhxkHOSkz4XIjS2HfYA.jpeg,
