date,title,url
2022-12-13,"AYS News Digest 12.12.2022: Spotlight on Bulgaria — 70 facing criminal charges",https://medium.com/are-you-syrious/ays-news-digest-12-12-2022-spotlight-on-bulgaria-70-facing-criminal-charges-7a9e79a5a071
2022-12-15,"AYS News Digest 14/12/22: Illegal pushbacks resume at the Italian-Slovenian border",https://medium.com/are-you-syrious/ays-news-digest-14-12-22-illegal-pushbacks-resume-at-the-italian-slovenian-border-ad94504958f3
2022-12-17,"AYS News Digest 15–16/12/22: 15 people pushed back to Turkey",https://medium.com/are-you-syrious/ays-news-digest-15-16-12-22-15-people-pushed-back-to-turkey-ab93205eb11f
2022-12-20,"AYS News Digest 20.12.2022: UK Rwanda plan “not unlawful” judges rule",https://medium.com/are-you-syrious/ays-news-digest-20-12-2022-uk-rwanda-plan-not-unlawful-judges-rule-a727a23de9de
2022-12-23,"AYS News Digest 22/12/22: EU Member State’s attempt to cover up their crime",https://medium.com/are-you-syrious/ays-news-digest-22-12-22-eu-member-states-attempt-to-cover-up-their-crime-510739fad7ed
2022-12-24,"AYS Special: Dunkirk, France — Roots reflection on the year",https://medium.com/are-you-syrious/ays-special-dunkirk-france-roots-reflection-on-the-year-9e4c17406471
2022-12-27,"AYS Special: Happy Christmas and welcome to the streets",https://medium.com/are-you-syrious/ays-special-happy-christmas-and-welcome-to-the-streets-d7d40c56e42
2022-12-29,"AYS Special from Greece: The Eye —An asylum-seeker’s account on pushbacks and life in Samos Refugee…",https://medium.com/are-you-syrious/ays-special-from-greece-the-eye-an-asylum-seekers-account-on-pushbacks-and-life-in-samos-refugee-111792b7cd1b
2022-12-31,"AYS Special: Climate change and migration",https://medium.com/are-you-syrious/ays-special-climate-change-and-migration-213826522f86
2023-01-02,"AYS UK Special: Another year of Home Office negligence, incompetence, and chaos",https://medium.com/are-you-syrious/ays-uk-special-another-year-of-home-office-negligence-incompetence-and-chaos-1b998fe55279
2023-01-05,"AYS Special: The Black Book of Pushbacks",https://medium.com/are-you-syrious/ays-special-the-black-book-of-pushbacks-cf665ccdbb79
2023-01-10,"AYS News Digest 09/01/23: Trial of Human Rights Defenders in Lesvos Begins",https://medium.com/are-you-syrious/ays-news-digest-9-01-23-trial-of-human-rights-defenders-in-lesvos-begins-e986700cc7e0
